user,trick_or_treat,archie_girls,the_dress,imitation,friday_or_saturday
ID-0138,FALSE,Veronica,White and gold,Lazily flattering someone,NA
ID-0139,FALSE,Betty,Blue and black,Laziness,NA
ID-0140,FALSE,Betty,Blue and black,Lazily flattering someone,NA
ID-0142,FALSE,Veronica,White and gold,Lazily flattering someone,NA
ID-0143,FALSE,???,White and gold,Lazily flattering someone,NA
ID-0141,FALSE,Betty,Blue and black,Lazily flattering someone,NA
ID-0144,FALSE,Veronica,Blue and black,Lazily flattering someone,NA
ID-0145,FALSE,Betty,Blue and black,Lazily flattering someone,NA
ID-0146,TRUE,Betty,Blue and black,Flattery,NA
ID-0147,FALSE,Betty,Blue and black,Flattery,NA
ID-0148,FALSE,Betty,White and gold,Lazily flattering someone,NA
ID-0149,FALSE,???,Blue and black,Laziness,NA
ID-0150,FALSE,???,White and gold,Flattery,NA
ID-0151,FALSE,???,Blue and black,Laziness,NA
ID-0152,FALSE,Veronica,White and gold,Lazily flattering someone,NA
ID-0153,TRUE,Veronica,White and gold,Lazily flattering someone,NA
ID-0154,FALSE,Veronica,Blue and black,Lazily flattering someone,NA
ID-0155,TRUE,Veronica,White and gold,Flattery,NA
ID-0156,FALSE,Veronica,White and gold,Laziness,NA
ID-0157,FALSE,Veronica,NA,Lazily flattering someone,NA
ID-0158,FALSE,Veronica,White and gold,Laziness,NA
ID-0159,FALSE,Veronica,Blue and black,Flattery,NA
ID-0160,FALSE,NA,NA,NA,NA
ID-0161,FALSE,Veronica,White and gold,Lazily flattering someone,NA
ID-0162,FALSE,Veronica,White and gold,Laziness,NA
ID-0163,FALSE,Betty,White and gold,Lazily flattering someone,NA
ID-0164,FALSE,NA,White and gold,Lazily flattering someone,NA
ID-0165,FALSE,???,White and gold,Lazily flattering someone,NA
ID-0166,FALSE,Veronica,White and gold,Lazily flattering someone,NA
ID-0167,FALSE,Veronica,Blue and black,Lazily flattering someone,NA
ID-0168,FALSE,Veronica,White and gold,Flattery,NA
ID-0169,FALSE,???,Blue and black,Laziness,NA
ID-0170,TRUE,Veronica,Blue and black,Laziness,NA
ID-0171,FALSE,Betty,White and gold,Lazily flattering someone,NA
ID-0172,TRUE,Veronica,Blue and black,Flattery,NA
ID-0173,FALSE,Betty,Blue and black,Lazily flattering someone,NA
ID-0174,FALSE,Veronica,NA,Laziness,NA
ID-0175,FALSE,Veronica,White and gold,Flattery,NA
ID-0176,FALSE,Veronica,White and gold,Flattery,NA
ID-0177,FALSE,NA,NA,NA,NA
ID-0178,FALSE,Veronica,Blue and black,Laziness,NA
ID-0179,FALSE,Veronica,Blue and black,Lazily flattering someone,NA
ID-0180,FALSE,Veronica,Blue and black,Lazily flattering someone,NA
ID-0181,FALSE,Veronica,Blue and black,Lazily flattering someone,NA
ID-0182,FALSE,Veronica,White and gold,Laziness,NA
ID-0183,FALSE,Veronica,White and gold,Laziness,NA
ID-0184,FALSE,Betty,Blue and black,Laziness,NA
ID-0185,FALSE,Veronica,White and gold,Laziness,NA
ID-0186,TRUE,Veronica,Blue and black,Flattery,NA
ID-0187,FALSE,Betty,White and gold,Lazily flattering someone,NA
ID-0188,FALSE,Betty,White and gold,Laziness,NA
ID-0189,FALSE,Veronica,White and gold,Lazily flattering someone,NA
ID-0190,FALSE,Veronica,White and gold,Laziness,NA
ID-0191,FALSE,Veronica,White and gold,Flattery,NA
ID-0192,TRUE,Betty,Blue and black,Flattery,NA
ID-0193,FALSE,Betty,Blue and black,Laziness,NA
ID-0194,FALSE,Veronica,White and gold,Lazily flattering someone,NA
ID-0195,FALSE,Betty,White and gold,Lazily flattering someone,NA
ID-0196,FALSE,Veronica,White and gold,Lazily flattering someone,NA
ID-0197,FALSE,Betty,White and gold,Flattery,NA
ID-0198,FALSE,Veronica,White and gold,Lazily flattering someone,NA
ID-0199,FALSE,???,White and gold,Lazily flattering someone,NA
ID-0200,FALSE,Veronica,Blue and black,Flattery,NA
ID-0201,FALSE,Betty,White and gold,Lazily flattering someone,NA
ID-0202,FALSE,Betty,White and gold,Lazily flattering someone,NA
ID-0203,TRUE,Veronica,Blue and black,Lazily flattering someone,NA
ID-0204,TRUE,Veronica,Blue and black,Lazily flattering someone,NA
ID-0205,TRUE,Veronica,Blue and black,Flattery,NA
