"Timestamp","n_mints","trick_or_treat","archie_girls","the_dress","imitation","friday_or_saturday"
2015-10-23 08:46:20,2,FALSE,"Veronica","White and gold","Lazily flattering someone",NA
2015-10-23 08:46:52,10,FALSE,"Betty","Blue and black","Laziness",NA
2015-10-23 08:47:34,4,FALSE,"Betty","Blue and black","Lazily flattering someone",NA
2015-10-23 08:47:59,5,FALSE,"Veronica","White and gold","Lazily flattering someone",NA
2015-10-23 08:49:07,2,FALSE,"Betty","Blue and black","Lazily flattering someone",NA
2015-10-23 08:52:14,12,FALSE,"Betty","Blue and black","Lazily flattering someone",NA
2015-10-23 08:52:22,5,FALSE,"Betty","Blue and black","Flattery",NA
2015-10-23 08:53:31,7,FALSE,"Betty","Blue and black","Flattery",NA
2015-10-23 08:54:15,4,FALSE,"Betty","White and gold","Lazily flattering someone",NA
2015-10-23 08:54:16,10,FALSE,"???","Blue and black","Laziness",NA
2015-10-23 08:54:56,5,FALSE,"???","White and gold","Flattery",NA
2015-10-23 08:55:07,4,FALSE,"Veronica","White and gold","Lazily flattering someone",NA
2015-10-23 08:56:21,16,FALSE,"Veronica","White and gold","Lazily flattering someone",NA
2015-10-23 08:56:26,42,FALSE,"Veronica","Blue and black","Lazily flattering someone",NA
2015-10-23 08:57:58,6,FALSE,"Veronica","White and gold","Laziness",NA
2015-10-23 08:58:14,3,FALSE,"Veronica",NA,"Lazily flattering someone",NA
2015-10-23 08:58:42,6,FALSE,"Veronica","White and gold","Laziness",NA
2015-10-23 08:59:20,6,FALSE,"Veronica","Blue and black","Flattery",NA
2015-10-23 09:00:13,8,FALSE,"Veronica","White and gold","Lazily flattering someone",NA
2015-10-23 09:00:23,3,FALSE,"Veronica","White and gold","Laziness",NA
2015-10-23 09:00:42,12,FALSE,"Betty","White and gold","Lazily flattering someone",NA
2015-10-23 09:00:55,3,FALSE,NA,"White and gold","Lazily flattering someone",NA
2015-10-23 09:01:36,3,FALSE,"???","White and gold","Lazily flattering someone",NA
2015-10-23 09:01:48,7,FALSE,"Veronica","White and gold","Lazily flattering someone",NA
2015-10-23 09:01:52,8,FALSE,"Veronica","Blue and black","Lazily flattering someone",NA
2015-10-23 09:02:18,6,FALSE,"Veronica","White and gold","Flattery",NA
2015-10-23 09:02:29,4,FALSE,"???","Blue and black","Laziness",NA
2015-10-23 09:02:31,5,FALSE,"Veronica","Blue and black","Laziness",NA
2015-10-23 09:03:51,4,FALSE,"Betty","White and gold","Lazily flattering someone",NA
2015-10-23 09:04:38,4,FALSE,"Veronica","Blue and black","Flattery",NA
2015-10-23 09:05:32,2,FALSE,"Veronica","White and gold","Flattery",NA
2015-10-23 09:07:14,12,FALSE,"Veronica","Blue and black","Laziness",NA
2015-10-23 09:07:30,13,FALSE,"Veronica","Blue and black","Lazily flattering someone",NA
2015-10-23 09:07:45,9,FALSE,"Veronica","Blue and black","Lazily flattering someone",NA
2015-10-23 09:08:07,2,FALSE,"Veronica","Blue and black","Lazily flattering someone",NA
2015-10-23 09:08:25,3,FALSE,"Veronica","White and gold","Laziness",NA
2015-10-23 09:09:13,7,FALSE,"Veronica","White and gold","Laziness",NA
2015-10-23 09:09:18,3,FALSE,"Betty","Blue and black","Laziness",NA
2015-10-23 09:09:33,7,FALSE,"Veronica","White and gold","Laziness",NA
2015-10-23 09:10:49,6,FALSE,"Veronica","Blue and black","Flattery",NA
2015-10-23 09:12:38,3,FALSE,"Betty","White and gold","Laziness",NA
2015-10-23 09:12:44,5,FALSE,"Veronica","White and gold","Lazily flattering someone",NA
2015-10-23 09:13:25,5,FALSE,"Veronica","White and gold","Laziness",NA
2015-10-23 09:13:29,11,FALSE,"Veronica","White and gold","Flattery",NA
2015-10-23 09:13:43,6,FALSE,"Betty","Blue and black","Flattery",NA
2015-10-23 09:14:03,3,FALSE,"Betty","Blue and black","Laziness",NA
2015-10-23 09:14:29,23,FALSE,"Veronica","White and gold","Lazily flattering someone",NA
2015-10-23 09:15:32,12,FALSE,"Veronica","White and gold","Lazily flattering someone",NA
2015-10-23 09:16:26,7,FALSE,"Betty","White and gold","Flattery",NA
2015-10-23 09:17:31,6,FALSE,"Veronica","White and gold","Lazily flattering someone",NA
2015-10-23 09:18:09,6,FALSE,"Veronica","Blue and black","Flattery",NA
2015-10-23 09:18:38,15,FALSE,"Betty","White and gold","Lazily flattering someone",NA
2015-10-23 09:18:41,3,FALSE,"Betty","White and gold","Lazily flattering someone",NA
2015-10-23 09:18:45,4,FALSE,"Veronica","Blue and black","Lazily flattering someone",NA
2015-10-23 09:19:34,8,FALSE,"Veronica","Blue and black","Lazily flattering someone",NA
2015-10-23 09:19:35,5,FALSE,"Veronica","Blue and black","Flattery",NA
2015-10-23 09:21:11,2,FALSE,"Betty","Blue and black","Flattery",NA
2015-10-23 09:21:31,3,FALSE,"Veronica","White and gold","Laziness",NA
2015-10-23 09:22:00,6,FALSE,"Veronica","Blue and black","Lazily flattering someone",NA
2015-10-23 09:22:36,7,FALSE,"Betty","White and gold","Flattery",NA
2015-10-23 09:22:47,200,FALSE,"Betty","Blue and black","Flattery",NA
2015-10-23 09:22:50,42,FALSE,"Veronica","Blue and black","Lazily flattering someone",NA
2015-10-23 09:22:51,4,FALSE,"Betty","White and gold","Lazily flattering someone",NA
2015-10-23 09:22:53,435,FALSE,"???","Blue and black","Laziness",NA
2015-10-23 09:23:23,8,FALSE,"Betty","Blue and black","Lazily flattering someone",NA
2015-10-23 09:23:34,3,FALSE,"Betty","White and gold","Lazily flattering someone",NA
2015-10-23 09:23:35,15,FALSE,"???","Blue and black","Lazily flattering someone",NA
2015-10-23 09:24:37,5,FALSE,"Betty","Blue and black","Lazily flattering someone",NA
2015-10-23 09:25:25,3,FALSE,"Betty","White and gold","Lazily flattering someone",NA
2015-10-23 09:26:01,3,FALSE,"Betty","Blue and black","Lazily flattering someone",NA
