user,n_mints
ID-0138,2
ID-0139,10
ID-0140,4
ID-0142,5
ID-0143,0
ID-0141,2
ID-0144,0
ID-0145,12
ID-0146,5
ID-0147,7
ID-0148,4
ID-0149,10
ID-0150,5
ID-0151,0
ID-0152,4
ID-0153,16
ID-0154,42
ID-0155,NA
ID-0156,6
ID-0157,3
ID-0158,6
ID-0159,6
ID-0160,NA
ID-0161,8
ID-0162,3
ID-0163,12
ID-0164,3
ID-0165,3
ID-0166,7
ID-0167,8
ID-0168,6
ID-0169,4
ID-0170,5
ID-0171,4
ID-0172,4
ID-0173,NA
ID-0174,0
ID-0175,2
ID-0176,NA
ID-0177,NA
ID-0178,12
ID-0179,13
ID-0180,9
ID-0181,2
ID-0182,3
ID-0183,7
ID-0184,3
ID-0185,7
ID-0186,6
ID-0187,0
ID-0188,3
ID-0189,5
ID-0190,5
ID-0191,11
ID-0192,6
ID-0193,3
ID-0194,23
ID-0195,NA
ID-0196,12
ID-0197,7
ID-0198,6
ID-0199,NA
ID-0200,6
ID-0201,15
ID-0202,3
ID-0203,4
ID-0204,8
ID-0205,5
ID-0206,2
ID-0207,3
ID-0208,6
ID-0209,NA
ID-0210,7
ID-0211,200
ID-0212,42
ID-0213,4
ID-0214,435
ID-0215,8
ID-0216,3
ID-0217,15
ID-0218,5
ID-0219,3
ID-0220,3
ID-0221,1
ID-0222,6
ID-0223,2
ID-0224,8
ID-0225,6
ID-0226,3
ID-0227,7
ID-0228,5
ID-0229,7
ID-0230,11
ID-0231,4
ID-0232,5
ID-0233,17
ID-0234,4
ID-0235,23
ID-0236,32
ID-0237,24
ID-0238,7
ID-0239,23
ID-0240,5
ID-0241,24
ID-0242,5
ID-0243,0
ID-0244,3
ID-0245,4
ID-0246,3
ID-0247,5
ID-0248,6
ID-0249,3
ID-0250,0
ID-0251,3
ID-0252,7
ID-0253,7
ID-0254,90324
ID-0255,42
ID-0256,NA
ID-0257,8
ID-0258,7
ID-0259,0
ID-0260,5
ID-0261,4
ID-0262,NA
ID-0263,21
ID-0264,5
ID-0265,5
ID-0266,7
ID-0267,14
ID-0268,NA
ID-0269,0
ID-0270,1000000
ID-0271,12
