user,age
ID-0138,35
ID-0139,41
ID-0140,33
ID-0142,31
ID-0143,30
ID-0141,38
ID-0144,48
ID-0145,39
ID-0146,NA
ID-0147,54
ID-0148,40
ID-0149,38
ID-0150,33
ID-0151,36
ID-0152,47
ID-0153,60
ID-0154,34
ID-0155,44
ID-0156,46
ID-0157,34
ID-0158,46
ID-0159,47
ID-0160,52
ID-0161,38
ID-0162,33
ID-0163,44
ID-0164,37
ID-0165,33
ID-0166,57
ID-0167,32
ID-0168,45
ID-0169,38
ID-0170,58
ID-0171,43
ID-0172,45
ID-0173,60
ID-0174,NA
ID-0175,49
ID-0176,34
ID-0177,NA
ID-0178,36
ID-0179,47
ID-0180,52
ID-0181,30
ID-0182,54
ID-0183,64
ID-0184,26
ID-0185,64
ID-0186,46
ID-0187,53
ID-0188,NA
ID-0189,32
ID-0190,57
ID-0191,27
ID-0192,NA
ID-0193,54
ID-0194,31
ID-0195,NA
ID-0196,50
ID-0197,42
ID-0198,32
ID-0199,NA
ID-0200,30
ID-0201,28
ID-0202,NA
ID-0203,44
ID-0204,54
ID-0205,38
ID-0206,38
ID-0207,37
ID-0208,35
ID-0209,43
ID-0210,33
ID-0211,13
ID-0212,51
ID-0213,33
ID-0214,70
ID-0215,46
ID-0216,51
ID-0217,44
ID-0218,41
ID-0219,47
ID-0220,46
ID-0221,NA
ID-0222,NA
ID-0223,43
ID-0224,43
ID-0225,36
ID-0226,70
ID-0227,19
ID-0228,32
ID-0229,35
ID-0230,27
ID-0231,43
ID-0232,45
ID-0233,25
ID-0234,33
ID-0235,36
ID-0236,32
ID-0237,51
ID-0238,36
ID-0239,26
ID-0240,59
ID-0241,32
ID-0242,39
ID-0243,61
ID-0244,31
ID-0245,42
ID-0246,33
ID-0247,42
ID-0248,52
ID-0249,33
ID-0250,38
ID-0251,46
ID-0252,31
ID-0253,34
ID-0254,37
ID-0255,23
ID-0256,46
ID-0257,42
ID-0258,40
ID-0259,NA
ID-0260,40
ID-0261,33
ID-0262,37
ID-0263,35
ID-0264,33
ID-0265,35
ID-0266,39
ID-0267,32
ID-0268,27
ID-0269,NA
ID-0270,41
ID-0271,55
ID-0272,32
ID-0273,37
ID-0274,13
ID-0275,36
ID-0276,39
ID-0277,38
ID-0278,47
ID-0279,46
ID-0280,33
ID-0281,45
ID-0282,31
ID-0283,44
ID-0284,40
ID-0285,33
ID-0286,45
ID-0287,38
ID-0288,13
ID-0289,46
ID-0290,38
ID-0291,53
ID-0292,33
ID-0293,12
ID-0294,33
ID-0295,40
ID-0296,51
ID-0297,37
ID-0298,32
ID-0299,NA
ID-0300,43
ID-0301,41
ID-0302,27
ID-0303,36
ID-0304,32
ID-0305,32
ID-0306,39
ID-0307,32
ID-0308,49
ID-0309,27
ID-0310,45
ID-0311,34
ID-0312,36
ID-0313,NA
ID-0314,12
ID-0315,12
ID-0316,50
ID-0317,13
ID-0318,12
ID-0319,59
ID-0320,36
ID-0321,46
ID-0322,46
ID-0323,47
ID-0324,55
ID-0325,38
ID-0326,33
ID-0327,NA
ID-0328,35
ID-0329,60
ID-0330,49
ID-0331,32
ID-0332,21
ID-0333,28
ID-0334,55
ID-0335,42
ID-0336,44
ID-0337,16
ID-0338,27
ID-0339,40
ID-0340,49
ID-0341,NA
ID-0342,39
ID-0343,53
ID-0344,35
ID-0345,51
ID-0346,50
ID-0347,56
ID-0348,58
ID-0349,49
ID-0350,49
ID-0351,49
ID-0352,NA
ID-0353,35
ID-0354,41
ID-0355,48
ID-0356,41
ID-0357,22
ID-0358,42
ID-0359,30
ID-0360,33
ID-0361,26
ID-0362,34
ID-0363,53
ID-0364,52
ID-0365,57
ID-0366,NA
ID-0367,33
ID-0368,34
ID-0369,32
ID-0370,39
ID-0371,6
ID-0372,58
ID-0373,22
ID-0374,6
ID-0375,29
ID-0376,46
ID-0377,64
ID-0378,42
ID-0379,55
ID-0380,48
ID-0381,39
ID-0382,30
ID-0383,46
ID-0384,35
ID-0385,30
ID-0386,45
ID-0387,38
ID-0388,42
ID-0389,64
ID-0390,35
ID-0391,30
ID-0392,64
ID-0393,NA
ID-0394,26
ID-0395,50
ID-0396,43
ID-0397,29
ID-0398,43
ID-0399,45
ID-0400,37
ID-0401,34
ID-0402,35
ID-0403,NA
ID-0404,53
ID-0405,37
ID-0406,45
ID-0407,32
ID-0408,40
ID-0409,60
ID-0410,58
ID-0411,NA
ID-0412,43
ID-0413,30
ID-0414,48
ID-0415,44
ID-0416,39
ID-0417,43
ID-0418,36
ID-0419,35
ID-0420,55
ID-0421,58
ID-0422,34
ID-0423,31
ID-0424,31
ID-0425,53
ID-0426,NA
ID-0427,26
ID-0428,40
ID-0429,44
ID-0430,43
ID-0431,42
ID-0432,40
ID-0433,26
ID-0434,51
ID-0435,58
ID-0436,46
ID-0437,52
ID-0438,26
ID-0439,54
ID-0440,43
ID-0441,41
ID-0442,32
ID-0443,45
ID-0444,34
ID-0445,40
ID-0446,54
ID-0447,36
ID-0448,30
ID-0449,55
ID-0450,47
ID-0451,41
ID-0452,38
ID-0453,27
ID-0454,40
ID-0455,27
ID-0456,31
ID-0457,36
ID-0458,32
ID-0459,33
ID-0460,32
ID-0462,36
ID-0461,30
ID-0463,27
ID-0464,24
ID-0465,36
ID-0466,33
ID-0467,48
ID-0468,40
ID-0469,NA
ID-0470,58
ID-0471,41
ID-0472,51
ID-0473,34
ID-0474,32
ID-0475,41
ID-0476,NA
ID-0477,48
ID-0478,48
ID-0479,32
ID-0480,44
ID-0481,31
ID-0482,39
ID-0483,44
ID-0484,31
ID-0485,41
ID-0486,32
ID-0487,40
ID-0488,NA
ID-0489,8
ID-0490,44
ID-0491,34
ID-0492,44
ID-0493,43
ID-0494,39
ID-0495,44
ID-0496,38
ID-0497,22
ID-0498,50
ID-0499,40
ID-0500,NA
ID-0501,37
ID-0502,30
ID-0503,42
ID-0504,39
ID-0505,NA
ID-0506,43
ID-0507,44
ID-0508,59
ID-0509,27
ID-0510,30
ID-0511,45
ID-0512,54
ID-0513,45
ID-0514,20
ID-0515,45
ID-0516,28
ID-0517,NA
ID-0518,35
ID-0519,58
ID-0520,43
ID-0521,46
ID-0522,39
ID-0523,15
ID-0524,NA
ID-0526,29
ID-0527,32
ID-0528,50
ID-0529,24
ID-0530,59
ID-0531,57
ID-0532,56
ID-0533,44
ID-0534,48
ID-0535,31
ID-0536,NA
ID-0525,16
ID-0537,50
ID-0538,45
ID-0539,43
ID-0540,25
ID-0541,35
ID-0542,46
ID-0544,50
ID-0545,43
ID-0546,34
ID-0543,32
ID-0547,44
ID-0548,36
ID-0549,45
ID-0550,31
ID-0551,26
ID-0552,38
ID-0553,47
ID-0554,30
ID-0555,49
ID-0556,36
ID-0557,29
ID-0558,19
ID-0559,55
ID-0560,27
ID-0561,24
ID-0562,NA
ID-0563,NA
ID-0564,42
ID-0565,42
ID-0566,40
ID-0567,NA
ID-0568,NA
ID-0569,43
ID-0570,42
ID-0571,19
ID-0572,21
ID-0573,34
ID-0574,50
ID-0575,54
ID-0576,19
ID-0577,36
ID-0578,32
ID-0579,45
ID-0580,28
ID-0581,41
ID-0582,27
ID-0583,37
ID-0584,34
ID-0585,35
ID-0586,20
ID-0587,36
ID-0588,71
ID-0589,48
ID-0590,47
ID-0591,41
ID-0592,58
ID-0593,37
ID-0594,41
ID-0595,45
ID-0596,42
ID-0597,46
ID-0598,NA
ID-0599,30
ID-0600,39
ID-0601,42
ID-0602,75
ID-0603,42
ID-0604,28
ID-0605,45
ID-0606,32
ID-0607,34
ID-0608,32
ID-0609,27
ID-0610,47
ID-0611,59
ID-0612,37
ID-0613,33
ID-0614,46
ID-0615,28
ID-0616,51
ID-0617,46
ID-0618,23
ID-0619,33
ID-0620,33
ID-0621,61
ID-0622,36
ID-0623,36
ID-0624,29
ID-0625,40
ID-0626,47
ID-0627,35
ID-0628,45
ID-0629,46
ID-0630,NA
ID-0631,39
ID-0632,37
ID-0633,31
ID-0634,40
ID-0635,42
ID-0636,55
ID-0637,40
ID-0638,57
ID-0639,43
ID-0640,28
ID-0641,50
ID-0642,51
ID-0643,44
ID-0644,NA
ID-0645,50
ID-0646,35
ID-0647,31
ID-0648,50
ID-0649,30
ID-0650,32
ID-0651,56
ID-0652,34
ID-0653,NA
ID-0654,45
ID-0655,30
ID-0656,31
ID-0658,36
ID-0659,18
ID-0657,45
ID-0660,29
ID-0661,17
ID-0662,17
ID-0663,35
ID-0664,17
ID-0665,17
ID-0666,45
ID-0667,52
ID-0668,18
ID-0669,18
ID-0670,43
ID-0671,18
ID-0672,18
ID-0673,37
ID-0674,19
ID-0675,35
ID-0676,40
ID-0677,18
ID-0678,21
ID-0679,18
ID-0680,18
ID-0681,18
ID-0682,47
ID-0683,18
ID-0684,18
ID-0685,29
ID-0686,18
ID-0687,19
ID-0689,43
ID-0690,NA
ID-0688,NA
ID-0691,47
ID-0692,64
ID-0693,26
ID-0694,50
ID-0695,45
ID-0696,30
ID-0697,30
ID-0698,38
ID-0699,56
ID-0700,35
ID-0701,63
ID-0702,50
ID-0703,47
ID-0704,46
ID-0705,24
ID-0706,42
ID-0707,50
ID-0708,46
ID-0709,37
ID-0710,32
ID-0711,46
ID-0712,37
ID-0713,30
ID-0714,48
ID-0715,44
ID-0716,44
ID-0717,26
ID-0718,35
ID-0719,54
ID-0720,26
ID-0721,44
ID-0722,65
ID-0723,58
ID-0725,58
ID-0726,44
ID-0727,34
ID-0724,62
